Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,1,0,0,0,0,0
0:00:00.340,1046.3,1013.6,1,0,0,0,0,0
0:00:00.440,1017.7,1017.7,1,0,0,0,0,0
0:00:00.540,989.1,1013.6,1,0,0,0,0,0
0:00:00.640,960.5,1005.4,1,0,0,0,0,0
0:00:00.740,936.0,985.0,1,0,0,0,0,0
0:00:00.840,911.4,964.6,1,0,0,0,0,0
0:00:00.940,895.1,940.1,1,0,0,0,0,0
0:00:01.040,878.7,911.4,1,0,0,0,0,0
0:00:01.140,866.5,878.7,1,0,0,0,0,0
0:00:01.240,858.3,846.0,1,0,0,0,0,0
0:00:01.340,846.0,813.4,1,0,0,0,0,0
0:00:01.440,833.8,780.7,1,0,0,0,0,0
0:00:01.540,817.4,748.0,1,0,0,0,0,0
0:00:01.640,797.0,719.3,1,0,0,0,0,0
0:00:01.740,776.6,694.8,1,0,0,0,0,0
0:00:01.840,756.1,666.2,1,0,0,0,0,0
0:00:01.940,735.7,641.7,1,0,0,0,0,0
0:00:02.040,723.4,617.2,1,0,0,0,0,0
0:00:02.140,715.3,584.5,1,0,0,0,0,0
0:00:02.240,719.3,555.9,1,0,0,0,0,0
0:00:02.473,743.9,490.5,1,0,0,0,0,1
0:00:02.573,756.1,461.9,1,0,0,0,0,1
0:00:02.773,772.5,404.6,1,0,0,0,0,1
0:00:02.873,776.6,384.2,1,0,0,0,0,1
0:00:03.040,780.7,371.9,1,0,0,0,0,1
0:00:03.140,780.7,376.0,1,0,0,0,0,1
0:00:03.240,784.7,376.0,1,0,0,0,0,1
0:00:03.340,788.8,376.0,1,0,0,0,0,1
0:00:03.506,801.1,367.8,1,0,0,0,0,1
0:00:03.606,809.3,359.7,1,0,0,0,0,1
0:00:03.706,829.7,355.6,1,0,0,0,0,1
0:00:03.806,846.0,351.5,1,0,0,0,0,1
0:00:03.906,866.5,355.6,1,0,0,0,0,1
0:00:04.006,891.0,359.7,1,0,0,0,0,1
0:00:04.106,911.4,367.8,1,0,0,0,0,1
0:00:04.206,927.8,371.9,1,0,0,0,0,1
0:00:04.306,944.1,380.1,1,0,0,0,0,1
0:00:04.406,960.5,380.1,1,0,0,0,0,1
0:00:04.506,980.9,380.1,1,0,0,0,0,1
0:00:04.606,997.3,380.1,1,0,0,0,0,1
0:00:04.706,1009.5,380.1,1,0,0,0,0,1
0:00:04.806,1025.9,380.1,1,0,0,0,0,1
0:00:04.906,1042.2,380.1,1,0,0,0,0,1
0:00:05.006,1054.5,384.2,1,0,0,0,0,1
0:00:05.106,1062.7,400.5,1,0,0,0,0,1
0:00:05.206,1066.8,412.8,1,0,0,0,0,0
0:00:05.340,1058.6,433.2,1,0,0,0,0,0
0:00:05.540,1030.0,453.7,1,0,0,0,0,0
0:00:05.640,1009.5,461.9,1,0,0,0,0,0
0:00:05.840,968.7,478.2,1,0,0,0,0,0
0:00:05.940,944.1,482.3,1,0,0,0,0,0
0:00:06.040,919.6,490.5,1,0,0,0,0,0
0:00:06.140,895.1,494.6,1,0,0,0,0,0
0:00:06.240,866.5,498.6,1,0,0,0,0,0
0:00:06.340,837.9,502.7,1,0,0,0,0,0
0:00:06.440,813.4,506.8,1,0,0,0,0,0
0:00:06.540,784.7,515.0,1,0,0,0,0,0
0:00:06.640,764.3,519.1,1,0,0,0,0,0
0:00:06.740,735.7,531.3,1,0,0,0,0,0
0:00:06.806,719.3,535.4,1,0,0,0,0,1
0:00:06.906,690.7,543.6,1,0,0,0,0,1
0:00:07.006,666.2,547.7,1,0,0,0,0,1
0:00:07.106,633.5,547.7,1,0,0,0,0,1
0:00:07.240,600.8,543.6,1,0,0,0,0,1
0:00:07.340,576.3,539.5,1,0,0,0,0,1
0:00:07.540,559.9,535.4,1,0,0,0,0,1
0:00:07.640,559.9,531.3,1,0,0,0,0,1
