Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,0,0,1,0,0,0
0:00:00.413,1401.9,960.5,0,0,1,0,0,0
0:00:00.513,1434.6,968.7,0,0,1,0,0,0
0:00:00.646,1475.5,985.0,0,0,1,0,0,0
0:00:00.746,1508.2,1001.4,0,0,1,0,0,0
0:00:00.846,1536.8,1013.6,0,0,1,0,0,0
0:00:01.013,1589.9,1046.3,0,0,1,0,0,0
0:00:01.046,1598.1,1054.5,0,0,0,1,0,0
0:00:01.146,1626.7,1074.9,0,0,0,1,0,0
0:00:01.280,1675.7,1124.0,0,0,0,1,0,0
0:00:01.380,1683.9,1119.9,0,0,0,1,0,0
0:00:01.480,1683.9,1140.3,0,0,0,1,0,0
0:00:01.580,1683.9,1144.4,0,0,0,1,0,0
0:00:01.680,1679.8,1156.7,0,0,0,1,0,0
0:00:01.780,1675.7,1177.1,0,0,0,1,0,0
0:00:01.880,1671.7,1193.5,0,0,0,1,0,0
0:00:01.980,1655.3,1222.1,0,0,0,1,0,0
0:00:02.246,1553.1,1307.9,0,0,0,1,0,0
0:00:02.380,1520.4,1336.5,0,0,0,1,0,0
0:00:02.480,1500.0,1365.1,0,0,0,1,0,0
0:00:02.613,1475.5,1397.8,0,0,0,1,0,0
0:00:02.713,1455.0,1422.3,0,0,0,1,0,0
0:00:02.813,1430.5,1446.9,0,0,0,1,0,0
0:00:02.947,1397.8,1475.5,0,0,0,1,0,0
0:00:03.080,1365.1,1500.0,0,0,0,1,0,0
0:00:03.180,1336.5,1520.4,0,0,0,1,0,0
0:00:03.280,1312.0,1540.9,0,0,0,1,0,0
0:00:03.447,1267.0,1573.6,0,0,0,1,0,0
0:00:03.547,1242.5,1594.0,0,0,0,1,0,0
0:00:03.713,1197.5,1630.8,0,0,0,1,0,0
0:00:03.946,1140.3,1675.7,0,0,0,1,0,1
0:00:04.147,1087.2,1692.1,0,0,0,1,0,1
0:00:04.180,1079.0,1692.1,0,1,0,0,0,1
0:00:04.280,1054.5,1688.0,0,1,0,0,0,1
0:00:04.380,1034.1,1679.8,0,1,0,0,0,1
0:00:04.480,1013.6,1667.6,0,1,0,0,0,1
0:00:04.647,985.0,1639.0,0,1,0,0,0,0
0:00:04.780,964.6,1614.4,0,1,0,0,0,0
