Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,0,0,1,0,0,1
0:00:00.445,1606.3,559.9,0,0,1,0,0,1
0:00:00.578,1606.3,551.8,0,0,1,0,0,1
0:00:00.678,1606.3,551.8,0,0,1,0,0,1
0:00:00.779,1602.2,559.9,0,0,1,0,0,1
0:00:00.912,1598.1,559.9,0,0,1,0,0,1
0:00:01.012,1598.1,555.9,0,0,1,0,0,1
0:00:01.112,1602.2,547.7,0,0,1,0,0,1
0:00:01.212,1598.1,543.6,0,0,1,0,0,1
0:00:01.312,1585.8,539.5,0,0,1,0,0,1
0:00:01.412,1569.5,539.5,0,0,1,0,0,1
0:00:01.512,1540.9,531.3,0,0,1,0,0,1
0:00:01.612,1520.4,527.2,0,0,1,0,0,1
0:00:01.712,1500.0,527.2,0,0,1,0,0,1
0:00:01.812,1479.6,527.2,0,0,1,0,0,1
0:00:01.912,1455.0,535.4,0,0,1,0,0,0
0:00:02.079,1426.4,543.6,0,0,1,0,0,0
0:00:02.179,1422.3,555.9,0,0,1,0,0,0
0:00:02.279,1418.3,568.1,0,0,1,0,0,0
0:00:02.379,1422.3,588.6,0,0,1,0,0,0
0:00:02.479,1430.5,600.8,0,0,1,0,0,0
0:00:02.579,1442.8,617.2,0,0,1,0,0,0
0:00:02.679,1455.0,633.5,0,0,1,0,0,0
0:00:02.812,1471.4,654.0,0,0,1,0,0,0
0:00:02.912,1479.6,674.4,0,0,1,0,0,0
0:00:03.012,1487.7,690.7,0,0,1,0,0,0
0:00:03.112,1495.9,711.2,0,0,1,0,0,0
0:00:03.212,1504.1,727.5,0,0,1,0,0,0
0:00:03.312,1508.2,743.9,0,0,1,0,0,0
0:00:03.412,1516.3,764.3,0,0,1,0,0,0
0:00:03.512,1524.5,784.7,0,0,1,0,0,0
0:00:03.612,1536.8,797.0,0,0,1,0,0,0
0:00:03.712,1549.0,805.2,0,0,1,0,0,0
0:00:03.812,1569.5,809.3,0,0,1,0,0,0
0:00:03.912,1585.8,809.3,0,0,1,0,0,0
0:00:04.012,1602.2,809.3,0,0,1,0,0,0
0:00:04.112,1618.5,801.1,0,0,1,0,0,0
0:00:04.212,1626.7,784.7,0,0,1,0,0,0
0:00:04.312,1626.7,768.4,0,0,1,0,0,0
0:00:04.412,1622.6,756.1,0,0,1,0,0,0
0:00:04.512,1610.4,748.0,0,0,1,0,0,0
0:00:04.612,1594.0,748.0,0,0,1,0,0,0
0:00:04.712,1585.8,752.0,0,0,1,0,0,0
0:00:04.812,1581.7,760.2,0,0,1,0,0,0
0:00:04.912,1577.7,776.6,0,0,1,0,0,0
0:00:05.012,1581.7,788.8,0,0,1,0,0,0
0:00:05.112,1581.7,801.1,0,0,1,0,0,0
0:00:05.212,1589.9,809.3,0,0,1,0,0,0
0:00:05.312,1594.0,821.5,0,0,1,0,0,0
0:00:05.412,1602.2,825.6,0,0,1,0,0,0
0:00:05.512,1614.4,825.6,0,0,1,0,0,0
0:00:05.612,1614.4,821.5,0,0,1,0,0,0
0:00:05.712,1614.4,813.4,0,0,1,0,0,0
0:00:05.812,1606.3,813.4,0,0,1,0,0,0
0:00:05.912,1594.0,813.4,0,0,1,0,0,0
0:00:06.012,1569.5,817.4,0,0,1,0,0,0
0:00:06.112,1557.2,821.5,0,0,1,0,0,0
0:00:06.212,1545.0,825.6,0,0,1,0,0,0
0:00:06.312,1528.6,829.7,0,0,1,0,0,0
0:00:06.445,1508.2,837.9,0,0,1,0,0,0
0:00:06.545,1500.0,850.1,0,0,1,0,0,0
0:00:06.645,1495.9,866.5,0,0,1,0,0,0
0:00:06.745,1495.9,886.9,0,0,1,0,0,0
0:00:06.845,1495.9,903.3,0,0,1,0,0,0
0:00:06.945,1500.0,923.7,0,0,1,0,0,0
0:00:07.045,1508.2,944.1,0,0,1,0,0,0
0:00:07.145,1516.3,964.6,0,0,1,0,0,0
0:00:07.245,1524.5,985.0,0,0,1,0,0,0
0:00:07.345,1540.9,1001.4,0,0,1,0,0,0
0:00:07.445,1553.1,1013.6,0,0,1,0,0,0
0:00:07.545,1577.7,1013.6,0,0,1,0,0,0
0:00:07.645,1598.1,1013.6,0,0,1,0,0,0
0:00:07.745,1622.6,1005.4,0,0,1,0,0,0
0:00:07.845,1647.1,1001.4,0,0,1,0,0,0
0:00:07.945,1667.6,997.3,0,0,1,0,0,0
0:00:08.045,1696.2,989.1,0,0,1,0,0,0
0:00:08.145,1716.6,989.1,0,0,1,0,0,1
0:00:08.245,1733.0,985.0,0,0,1,0,0,1
0:00:08.845,1782.0,980.9,0,0,1,0,0,1
0:00:08.945,1777.9,980.9,0,0,1,0,0,1
0:00:09.045,1777.9,985.0,0,0,1,0,0,1
0:00:09.145,1773.8,985.0,0,0,1,0,0,1
0:00:09.279,1773.8,989.1,0,0,1,0,0,1
0:00:09.379,1773.8,989.1,0,0,1,0,0,1
0:00:09.479,1782.0,985.0,0,0,1,0,0,1
0:00:09.579,1782.0,985.0,0,0,1,0,0,1
0:00:09.679,1786.1,980.9,0,0,1,0,0,1
0:00:09.779,1790.2,972.8,0,0,1,0,0,1
0:00:09.879,1790.2,968.7,0,0,1,0,0,1
0:00:09.979,1786.1,968.7,0,0,1,0,0,1
0:00:10.079,1777.9,968.7,0,0,1,0,0,1
0:00:10.179,1773.8,968.7,0,0,1,0,0,1
0:00:10.279,1765.7,972.8,0,0,1,0,0,1
0:00:10.379,1765.7,976.8,0,0,1,0,0,1
0:00:10.479,1765.7,976.8,0,0,1,0,0,1
0:00:10.645,1769.8,985.0,0,0,1,0,0,1
0:00:10.745,1773.8,989.1,0,0,1,0,0,1
0:00:10.879,1769.8,1009.5,0,0,1,0,0,1
0:00:11.012,1761.6,1021.8,0,0,1,0,0,1
0:00:11.112,1757.5,1021.8,0,0,1,0,0,1
0:00:11.345,1745.2,1017.7,0,0,1,0,0,1
0:00:11.445,1741.1,1009.5,0,0,1,0,0,1
0:00:11.545,1741.1,997.3,0,0,1,0,0,1
0:00:11.645,1745.2,985.0,0,0,1,0,0,1
0:00:11.745,1745.2,972.8,0,0,1,0,0,1
