Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,1,0,0,0,0,0
0:00:00.320,764.3,878.7,1,0,0,0,0,0
0:00:00.420,784.7,891.0,1,0,0,0,0,0
0:00:00.520,809.3,899.2,1,0,0,0,0,0
0:00:00.620,829.7,895.1,1,0,0,0,0,0
0:00:00.720,846.0,874.7,1,0,0,0,0,0
0:00:00.820,850.1,854.2,1,0,0,0,0,0
0:00:00.920,846.0,833.8,1,0,0,0,0,0
0:00:01.020,825.6,817.4,1,0,0,0,0,0
0:00:01.120,801.1,809.3,1,0,0,0,0,0
0:00:01.220,776.6,805.2,1,0,0,0,0,0
0:00:01.320,743.9,805.2,1,0,0,0,0,0
0:00:01.420,715.3,813.4,1,0,0,0,0,0
0:00:01.520,690.7,829.7,1,0,0,0,0,0
0:00:01.620,670.3,846.0,1,0,0,0,0,0
0:00:01.720,645.8,866.5,1,0,0,0,0,0
0:00:01.820,625.3,882.8,1,0,0,0,0,0
0:00:01.920,604.9,899.2,1,0,0,0,0,0
0:00:02.020,576.3,911.4,1,0,0,0,0,0
0:00:02.120,555.9,919.6,1,0,0,0,0,0
0:00:02.220,531.3,919.6,1,0,0,0,0,0
0:00:02.320,502.7,915.5,1,0,0,0,0,0
0:00:02.420,482.3,907.4,1,0,0,0,0,0
0:00:02.453,478.2,903.3,1,0,0,0,0,1
0:00:02.553,457.8,891.0,1,0,0,0,0,1
0:00:02.653,445.5,866.5,1,0,0,0,0,1
0:00:02.753,437.3,846.0,1,0,0,0,0,1
0:00:02.853,441.4,825.6,1,0,0,0,0,1
0:00:02.953,449.6,809.3,1,0,0,0,0,1
0:00:03.053,461.9,792.9,1,0,0,0,0,1
0:00:03.153,482.3,784.7,1,0,0,0,0,1
0:00:03.253,502.7,780.7,1,0,0,0,0,1
0:00:03.353,527.2,784.7,1,0,0,0,0,0
0:00:03.453,547.7,784.7,1,0,0,0,0,0
0:00:03.553,572.2,780.7,1,0,0,0,0,0
0:00:03.653,592.6,776.6,1,0,0,0,0,0
0:00:03.753,617.2,768.4,1,0,0,0,0,0
0:00:03.853,637.6,756.1,1,0,0,0,0,0
0:00:03.953,658.0,735.7,1,0,0,0,0,0
0:00:04.053,682.6,719.3,1,0,0,0,0,0
0:00:04.153,703.0,703.0,1,0,0,0,0,0
0:00:04.253,727.5,686.6,1,0,0,0,0,0
0:00:04.353,752.0,670.3,1,0,0,0,0,0
0:00:04.453,776.6,654.0,1,0,0,0,0,0
0:00:04.553,801.1,641.7,1,0,0,0,0,0
0:00:04.653,829.7,629.4,1,0,0,0,0,0
0:00:04.753,858.3,625.3,1,0,0,0,0,0
0:00:04.853,886.9,617.2,1,0,0,0,0,0
0:00:04.953,915.5,617.2,1,0,0,0,0,0
0:00:05.087,952.3,613.1,1,0,0,0,0,0
0:00:05.187,972.8,600.8,1,0,0,0,0,0
0:00:05.287,997.3,584.5,1,0,0,0,0,0
0:00:05.387,1009.5,576.3,1,0,0,0,0,0
0:00:05.487,1030.0,568.1,1,0,0,0,0,0
0:00:05.587,1050.4,564.0,1,0,0,0,0,0
0:00:05.687,1070.8,568.1,1,0,0,0,0,0
0:00:05.787,1091.3,576.3,0,0,1,0,0,0
0:00:05.920,1115.8,592.6,0,0,1,0,0,0
0:00:06.020,1136.2,596.7,0,0,1,0,0,0
0:00:06.120,1156.7,600.8,0,0,1,0,0,0
0:00:06.220,1177.1,596.7,0,0,1,0,0,0
0:00:06.320,1193.5,588.6,0,0,1,0,0,0
0:00:06.420,1205.7,568.1,0,0,1,0,0,0
0:00:06.620,1209.8,527.2,0,0,1,0,0,0
0:00:06.720,1205.7,502.7,0,0,1,0,0,0
0:00:06.953,1185.3,453.7,0,0,1,0,0,0
0:00:07.053,1173.0,433.2,0,0,1,0,0,0
0:00:07.153,1156.7,408.7,0,0,1,0,0,1
0:00:07.253,1136.2,388.3,0,0,1,0,0,1
0:00:07.353,1124.0,371.9,0,0,1,0,0,1
0:00:07.453,1103.5,351.5,0,0,1,0,0,1
0:00:07.553,1087.2,327.0,0,0,1,0,0,1
0:00:07.587,1079.0,327.0,1,0,0,0,0,1
0:00:07.687,1070.8,314.7,1,0,0,0,0,1
0:00:07.787,1058.6,306.5,1,0,0,0,0,1
0:00:07.887,1042.2,306.5,1,0,0,0,0,1
0:00:07.987,1025.9,306.5,1,0,0,0,0,1
0:00:08.087,1005.4,306.5,1,0,0,0,0,1
0:00:08.187,980.9,310.6,1,0,0,0,0,1
0:00:08.287,960.5,314.7,1,0,0,0,0,1
0:00:08.387,936.0,318.8,1,0,0,0,0,1
0:00:08.487,915.5,322.9,1,0,0,0,0,1
0:00:08.587,891.0,327.0,1,0,0,0,0,1
0:00:08.687,866.5,335.1,1,0,0,0,0,1
0:00:08.787,846.0,347.4,1,0,0,0,0,1
0:00:08.920,817.4,359.7,1,0,0,0,0,1
0:00:09.020,797.0,376.0,1,0,0,0,0,1
0:00:09.120,776.6,396.5,1,0,0,0,0,1
0:00:09.220,760.2,416.9,1,0,0,0,0,1
0:00:09.320,748.0,441.4,1,0,0,0,0,1
0:00:09.420,739.8,457.8,1,0,0,0,0,1
0:00:09.520,727.5,486.4,1,0,0,0,0,1
0:00:09.620,719.3,506.8,1,0,0,0,0,1
0:00:09.720,707.1,531.3,1,0,0,0,0,1
0:00:09.820,698.9,551.8,1,0,0,0,0,0
0:00:09.920,686.6,572.2,1,0,0,0,0,0
0:00:10.020,674.4,596.7,1,0,0,0,0,0
0:00:10.120,662.1,613.1,1,0,0,0,0,0
0:00:10.220,645.8,629.4,1,0,0,0,0,0
0:00:10.320,625.3,649.9,1,0,0,0,0,0
0:00:10.420,604.9,662.1,1,0,0,0,0,0
0:00:10.520,584.5,678.5,1,0,0,0,0,0
0:00:10.553,576.3,682.6,1,0,0,0,0,1
0:00:10.653,555.9,694.8,1,0,0,0,0,1
0:00:10.753,535.4,711.2,1,0,0,0,0,1
0:00:10.853,523.2,731.6,1,0,0,0,0,1
0:00:10.953,510.9,756.1,1,0,0,0,0,1
0:00:11.053,502.7,776.6,1,0,0,0,0,1
0:00:11.153,498.6,801.1,1,0,0,0,0,1
0:00:11.253,494.6,817.4,1,0,0,0,0,1
0:00:11.353,490.5,833.8,1,0,0,0,0,1
0:00:11.453,482.3,854.2,1,0,0,0,0,1
0:00:11.553,474.1,870.6,1,0,0,0,0,1
0:00:11.653,461.9,882.8,1,0,0,0,0,1
0:00:11.753,445.5,891.0,1,0,0,0,0,1
0:00:11.853,429.2,895.1,1,0,0,0,0,1
0:00:11.953,412.8,895.1,1,0,0,0,0,1
0:00:12.053,396.5,886.9,1,0,0,0,0,1
0:00:12.153,384.2,882.8,1,0,0,0,0,1
0:00:12.253,371.9,874.7,1,0,0,0,0,1
0:00:12.753,392.4,772.5,1,0,0,0,0,1
0:00:12.853,400.5,756.1,1,0,0,0,0,1
0:00:12.953,404.6,743.9,1,0,0,0,0,1
0:00:13.053,416.9,723.4,1,0,0,0,0,1
0:00:13.153,421.0,715.3,1,0,0,0,0,1
0:00:13.253,429.2,703.0,1,0,0,0,0,1
0:00:13.353,437.3,682.6,1,0,0,0,0,1
0:00:13.620,461.9,637.6,1,0,0,0,0,1
0:00:13.720,478.2,617.2,1,0,0,0,0,1
0:00:13.820,486.4,609.0,1,0,0,0,0,1
0:00:13.920,498.6,596.7,1,0,0,0,0,1
0:00:14.020,510.9,580.4,1,0,0,0,0,1
0:00:14.120,527.2,568.1,1,0,0,0,0,1
0:00:14.220,547.7,551.8,1,0,0,0,0,1
0:00:14.320,568.1,539.5,1,0,0,0,0,1
0:00:14.420,592.6,523.2,1,0,0,0,0,1
0:00:14.520,613.1,510.9,1,0,0,0,0,1
0:00:14.620,633.5,502.7,1,0,0,0,0,1
0:00:14.720,662.1,490.5,1,0,0,0,0,1
0:00:14.820,682.6,486.4,1,0,0,0,0,1
0:00:14.920,711.2,478.2,1,0,0,0,0,1
0:00:15.020,739.8,470.0,1,0,0,0,0,1
0:00:15.120,764.3,465.9,1,0,0,0,0,1
0:00:15.220,792.9,461.9,1,0,0,0,0,1
0:00:15.320,817.4,453.7,1,0,0,0,0,1
0:00:15.420,842.0,437.3,1,0,0,0,0,1
0:00:15.520,866.5,425.1,1,0,0,0,0,1
0:00:15.620,886.9,408.7,1,0,0,0,0,1
0:00:15.720,911.4,392.4,1,0,0,0,0,1
0:00:15.820,931.9,371.9,1,0,0,0,0,1
0:00:15.920,952.3,347.4,1,0,0,0,0,1
0:00:16.020,968.7,327.0,1,0,0,0,0,1
0:00:16.120,980.9,314.7,1,0,0,0,0,1
0:00:16.187,989.1,306.5,0,0,0,0,0,0
0:00:16.220,993.2,306.5,1,0,0,0,0,1
0:00:16.320,997.3,306.5,1,0,0,0,0,1
0:00:16.453,1005.4,306.5,1,0,0,0,0,1
0:00:16.553,1013.6,310.6,1,0,0,0,0,1
0:00:16.653,1025.9,310.6,1,0,0,0,0,1
0:00:16.753,1042.2,314.7,1,0,0,0,0,1
0:00:16.853,1058.6,318.8,1,0,0,0,0,1
0:00:16.953,1074.9,331.1,1,0,0,0,0,1
0:00:17.020,1087.2,335.1,0,0,1,0,0,1
0:00:17.120,1107.6,347.4,0,0,1,0,0,1
0:00:17.220,1132.2,355.6,0,0,1,0,0,1
0:00:17.320,1148.5,363.8,0,0,1,0,0,1
0:00:17.420,1173.0,371.9,0,0,1,0,0,1
0:00:17.520,1193.5,380.1,0,0,1,0,0,1
0:00:17.620,1218.0,384.2,0,0,1,0,0,1
0:00:17.720,1242.5,380.1,0,0,1,0,0,1
0:00:17.820,1267.0,380.1,0,0,1,0,0,1
0:00:17.920,1299.7,371.9,0,0,1,0,0,1
0:00:18.020,1316.1,363.8,0,0,1,0,0,1
0:00:18.120,1340.6,359.7,0,0,1,0,0,1
0:00:18.220,1361.0,363.8,0,0,1,0,0,1
0:00:18.320,1381.5,376.0,0,0,1,0,0,1
0:00:18.453,1406.0,392.4,0,0,1,0,0,1
0:00:18.553,1422.3,404.6,0,0,1,0,0,1
0:00:18.653,1442.8,421.0,0,0,1,0,0,1
0:00:18.753,1463.2,433.2,0,0,1,0,0,1
0:00:18.853,1479.6,453.7,0,0,1,0,0,1
0:00:18.953,1491.8,474.1,0,0,1,0,0,1
0:00:19.053,1508.2,502.7,0,0,1,0,0,1
0:00:19.153,1516.3,519.1,0,0,1,0,0,1
0:00:19.253,1536.8,539.5,0,0,1,0,0,1
0:00:19.353,1553.1,555.9,0,0,1,0,0,1
0:00:19.453,1573.6,576.3,0,0,1,0,0,1
0:00:19.553,1594.0,588.6,0,0,1,0,0,1
0:00:19.653,1618.5,604.9,0,0,1,0,0,1
0:00:19.753,1647.1,613.1,0,0,1,0,0,1
0:00:19.853,1663.5,625.3,0,0,1,0,0,1
0:00:19.953,1679.8,637.6,0,0,1,0,0,1
0:00:20.053,1696.2,658.0,0,0,1,0,0,1
0:00:20.153,1704.4,678.5,0,0,1,0,0,1
0:00:20.253,1708.4,703.0,0,0,1,0,0,1
0:00:20.353,1712.5,727.5,0,0,1,0,0,1
0:00:20.453,1716.6,752.0,0,0,1,0,0,1
0:00:20.553,1716.6,780.7,0,0,1,0,0,1
0:00:20.653,1720.7,809.3,0,0,1,0,0,1
0:00:20.753,1720.7,833.8,0,0,1,0,0,1
0:00:20.853,1720.7,858.3,0,0,1,0,0,1
0:00:20.953,1728.9,886.9,0,0,1,0,0,1
0:00:21.053,1737.1,907.4,0,0,1,0,0,1
0:00:21.153,1745.2,931.9,0,0,1,0,0,1
0:00:21.253,1761.6,956.4,0,0,1,0,0,1
0:00:21.353,1773.8,976.8,0,0,1,0,0,1
0:00:21.453,1790.2,997.3,0,0,1,0,0,1
0:00:21.553,1794.3,1017.7,0,0,1,0,0,1
0:00:21.653,1798.4,1042.2,0,0,1,0,0,1
